Randomizer Version: 4.5.1-HAL
Random Seed: 23962706501124
Settings String: 320WRECAgKXAJoAnQCRAAKjJGkECQEACQACCQASEgAAAAAADAiI5AHkRAAICTIGBQLKAHEAFlBva2Vtb24gU291bFNpbHZlciAoVSnkkKFMusobtQ==

--Randomized Evolutions--
BULBASAUR       -> VOLBEAT        
Level 40: Growl
Level 44: Charm
Level 48: Lovely Kiss
Level 53: Thief
Egg Moves:
 - Leech Life
 - Crush Claw
 - Toxic
 - False Swipe
 - Icy Wind
 - Heat Wave
 - Role Play
 - Lock-On
 - Thief
 - Stockpile
 - Muddy Water

336 SEVIPER ->  (no evolution)
HP  99 
ATK 102
DEF 85 
SPA 95 
SPD 34 
SPE 109
Level 1 : Sleep Talk
Level 1 : Water Gun
Level 1 : Mist Ball
Level 1 : Ice Fang
Level 7 : Flatter
Level 10: Synthesis
Level 16: Mega Kick
Level 19: Flame Wheel
Level 25: Hydro Pump
Level 28: Punishment
Level 34: Me First
Level 37: Shadow Sneak
Level 43: Wish
Level 46: Blizzard
Level 52: Endeavor
Level 55: Energy Ball
Egg Moves:
 - Razor Leaf
 - Lock-On
 - Twister
 - Barrier
 - Gyro Ball
 - Aqua Tail
 - Sleep Powder
 - Drain Punch

337 LUNATONE ->  (no evolution)
HP  37 
ATK 59 
DEF 34 
SPA 18 
SPD 117
SPE 188
Level 1 : Pain Split
Level 1 : Sky Attack
Level 1 : Peck
Level 1 : Cross Chop
Level 9 : Refresh
Level 12: Minimize
Level 20: Ingrain
Level 23: DynamicPunch
Level 31: Icicle Spear
Level 34: Horn Attack
Level 42: Will-O-Wisp
Level 45: Tail Glow
Level 53: Lava Plume
Level 56: Chatter

338 SOLROCK ->  (no evolution)
HP  23 
ATK 156
DEF 51 
SPA 27 
SPD 105
SPE 133
Level 1 : Mud-Slap
Level 1 : Gyro Ball
Level 1 : Faint Attack
Level 1 : Hi Jump Kick
Level 9 : Cotton Spore
Level 12: Magnet Bomb
Level 20: Trick Room
Level 23: Dragon Claw
Level 31: Defense Curl
Level 34: Avalanche
Level 42: Fire Spin
Level 45: Grudge
Level 53: Skull Bash
Level 56: Arm Thrust

339 BARBOACH -> DUSKNOIR
HP  38 
ATK 55 
DEF 77 
SPA 41 
SPD 47 
SPE 40 
Level 1 : Cross Chop
Level 1 : Swords Dance
Level 1 : SolarBeam
Level 1 : Magnet Bomb
Level 6 : Hidden Power
Level 6 : Flash Cannon
Level 10: Frustration
Level 14: Sharpen
Level 18: Megahorn
Level 22: Power Gem
Level 26: Slash
Level 31: Volt Tackle
Level 31: Aromatherapy
Level 35: Double Team
Level 39: Charm
Level 43: Covet
Level 47: Sheer Cold
Egg Moves:
 - Weather Ball
 - AncientPower
 - Assurance
 - Fury Cutter
 - Haze
 - Brick Break
 - SonicBoom

340 WHISCASH ->  (no evolution)
HP  118
ATK 61 
DEF 84 
SPA 32 
SPD 103
SPE 48 
Level 1 : Twister
Level 1 : Frustration
Level 1 : Twineedle
Level 1 : Iron Head
Level 1 : Draco Meteor
Level 6 : Miracle Eye
Level 6 : Seismic Toss
Level 10: Rock Tomb
Level 14: Water Gun
Level 18: Fling
Level 22: DynamicPunch
Level 26: Barrier
Level 33: Shadow Sneak
Level 33: Reflect
Level 39: Stun Spore
Level 45: Embargo
Level 51: Payback
Level 57: Recycle

341 CORPHISH -> URSARING
HP  75 
ATK 61 
DEF 32 
SPA 74 
SPD 98 
SPE 32 
Level 1 : Growth
Level 1 : Volt Tackle
Level 1 : Hi Jump Kick
Level 1 : Meteor Mash
Level 7 : Shadow Claw
Level 10: Bug Buzz
Level 13: Spite
Level 20: Covet
Level 23: Gunk Shot
Level 26: Zap Cannon
Level 32: Flare Blitz
Level 35: Powder Snow
Level 38: Water Spout
Level 44: Swords Dance
Level 47: Low Kick
Level 53: Whirlwind
Egg Moves:
 - Magnet Bomb
 - Overheat
 - Lovely Kiss
 - Tailwind
 - Psycho Boost
 - Flame Wheel
 - Mud Bomb
 - Thunder Fang

342 CRAWDAUNT ->  (no evolution)
HP  43 
ATK 60 
DEF 56 
SPA 134
SPD 106
SPE 150
Level 1 : Psych Up
Level 1 : Stomp
Level 1 : Lock-On
Level 1 : Shock Wave
Level 7 : Mist
Level 10: Snatch
Level 13: Spark
Level 20: Softboiled
Level 23: Dragon Rage
Level 26: Body Slam
Level 30: Sacred Fire
Level 34: Air Slash
Level 39: Needle Arm
Level 44: Vital Throw
Level 52: X-Scissor
Level 57: Gunk Shot
Level 65: Follow Me

343 BALTOY -> SHAYMIN
HP  83 
ATK 117
DEF 123
SPA 38 
SPD 57 
SPE 19 
Level 1 : Megahorn
Level 1 : Poison Gas
Level 1 : Ice Beam
Level 1 : ViceGrip
Level 3 : Air Slash
Level 5 : SmokeScreen
Level 7 : Conversion
Level 11: Dragon Rush
Level 15: Rock Polish
Level 19: Judgment
Level 25: Slack Off
Level 31: Ice Fang
Level 37: Brick Break
Level 45: Volt Tackle
Level 53: Light Screen
Level 61: Explosion
Level 71: Uproar

344 CLAYDOL ->  (no evolution)
HP  79 
ATK 127
DEF 142
SPA 14 
SPD 60 
SPE 80 
Level 1 : Power Swap
Level 1 : Selfdestruct
Level 1 : Karate Chop
Level 1 : Cross Chop
Level 3 : Mist
Level 5 : Octazooka
Level 7 : Sandstorm
Level 11: Crunch
Level 15: Spark
Level 19: Mud Shot
Level 25: Kinesis
Level 31: Water Sport
Level 36: Sacred Fire
Level 40: Swift
Level 51: Fury Cutter
Level 62: Safeguard
Level 73: Heal Order
Level 86: Hydro Cannon

345 LILEEP -> STARAPTOR
HP  20 
ATK 43 
DEF 77 
SPA 72 
SPD 27 
SPE 69 
Level 1 : Water Gun
Level 1 : Psycho Shift
Level 1 : Ember
Level 1 : Leaf Storm
Level 8 : Arm Thrust
Level 15: Trump Card
Level 22: Barrage
Level 29: Psych Up
Level 36: Ice Shard
Level 43: Refresh
Level 50: Aqua Tail
Level 57: Water Spout
Level 57: Swagger
Level 57: Focus Blast
Level 64: Bubble
Egg Moves:
 - Hypnosis
 - Metal Claw
 - Supersonic
 - Withdraw
 - Metal Sound
 - Tri Attack
 - Recover

346 CRADILY ->  (no evolution)
HP  37 
ATK 204
DEF 81 
SPA 87 
SPD 32 
SPE 124
Level 1 : Horn Drill
Level 1 : Aurora Beam
Level 1 : Mirror Shot
Level 1 : Razor Leaf
Level 8 : Luster Purge
Level 15: Poison Sting
Level 22: Bonemerang
Level 29: Rapid Spin
Level 36: Conversion 2
Level 46: Metronome
Level 56: Slam
Level 66: GrassWhistle
Level 66: Rage
Level 66: Snatch
Level 76: Metal Sound

347 ANORITH -> ROSERADE
HP  21 
ATK 24 
DEF 48 
SPA 48 
SPD 55 
SPE 13 
Level 1 : Feint
Level 1 : Shadow Claw
Level 1 : Blaze Kick
Level 1 : Leaf Storm
Level 7 : Scary Face
Level 13: Lovely Kiss
Level 19: Flash
Level 25: Power Trick
Level 31: Poison Tail
Level 37: Brine
Level 43: Recycle
Level 49: Dream Eater
Level 55: Frustration
Level 61: Softboiled
Egg Moves:
 - Meteor Mash
 - False Swipe
 - Flash Cannon
 - Double-Edge
 - Swallow
 - Bullet Punch
 - Sludge
 - Weather Ball

348 ARMALDO ->  (no evolution)
HP  37 
ATK 26 
DEF 107
SPA 137
SPD 171
SPE 185
Level 1 : Ice Ball
Level 1 : Head Smash
Level 1 : Magnitude
Level 1 : Tri Attack
Level 7 : Spore
Level 13: Miracle Eye
Level 19: Stomp
Level 25: Powder Snow
Level 31: Chatter
Level 37: Moonlight
Level 46: Hammer Arm
Level 55: Belly Drum
Level 67: Rain Dance
Level 73: Taunt

349 FEEBAS -> SWAMPERT
HP  76 
ATK 19 
DEF 54 
SPA 78 
SPD 52 
SPE 19 
Level 1 : Recover
Level 1 : Scary Face
Level 1 : Night Slash
Level 1 : Magical Leaf
Level 15: Wrap
Level 30: Belly Drum
Egg Moves:
 - Slack Off
 - Mega Drain
 - Follow Me
 - Confuse Ray
 - Aqua Jet
 - Minimize
 - Recover
 - Camouflage
 - Uproar

350 MILOTIC ->  (no evolution)
HP  66 
ATK 112
DEF 162
SPA 134
SPD 40 
SPE 102
Level 1 : Teleport
Level 1 : Bulk Up
Level 1 : Overheat
Level 1 : Focus Blast
Level 5 : Roost
Level 9 : Leech Seed
Level 13: Calm Mind
Level 17: Gastro Acid
Level 21: Glare
Level 25: Wake-Up Slap
Level 29: Icicle Spear
Level 33: Swagger
Level 37: Lovely Kiss
Level 41: Force Palm
Level 45: Thunder Fang
Level 49: Memento

351 CASTFORM ->  (no evolution)
HP  123
ATK 80 
DEF 126
SPA 102
SPD 84 
SPE 37 
Level 1 : Octazooka
Level 1 : Poison Gas
Level 1 : Air Cutter
Level 1 : Confusion
Level 10: Mirror Move
Level 10: Roar of Time
Level 10: Spikes
Level 20: Energy Ball
Level 20: Ominous Wind
Level 20: Toxic
Level 30: Wish
Egg Moves:
 - Morning Sun
 - Dig
 - Bug Bite
 - Revenge
 - Head Smash
 - Jump Kick

352 KECLEON ->  (no evolution)
HP  104
ATK 103
DEF 92 
SPA 80 
SPD 73 
SPE 110
Level 1 : Comet Punch
Level 1 : Safeguard
Level 1 : Skill Swap
Level 1 : Bug Buzz
Level 1 : Icy Wind
Level 4 : Defend Order
Level 7 : Encore
Level 10: Metronome
Level 14: Hidden Power
Level 18: Camouflage
Level 22: Nature Power
Level 27: Blaze Kick
Level 32: Fire Punch
Level 37: Aqua Ring
Level 43: Swagger
Level 49: Iron Tail
Level 55: Bug Bite
Egg Moves:
 - Captivate
 - Metal Burst
 - Petal Dance
 - ThunderShock
 - Metronome
 - Fire Spin
 - SmokeScreen

353 SHUPPET -> BEEDRILL
HP  45 
ATK 144
DEF 19 
SPA 88 
SPD 44 
SPE 35 
Level 1 : Spacial Rend
Level 1 : Comet Punch
Level 1 : Mud Shot
Level 1 : Blizzard
Level 5 : Covet
Level 8 : Rock Slide
Level 13: Fury Swipes
Level 16: Slash
Level 20: Mega Drain
Level 23: Return
Level 28: Absorb
Level 31: Psycho Cut
Level 35: Attack Order
Level 38: Perish Song
Level 43: Mist
Level 46: Teeter Dance
Level 50: Focus Punch
Egg Moves:
 - Natural Gift
 - Withdraw
 - Sharpen
 - Psybeam
 - Dragon Rage
 - Agility
 - Rollout
 - Hail
 - Bubble

354 BANETTE ->  (no evolution)
HP  89 
ATK 88 
DEF 83 
SPA 32 
SPD 68 
SPE 62 
Level 1 : Safeguard
Level 1 : Cosmic Power
Level 1 : Rock Slide
Level 1 : Spacial Rend
Level 8 : Gust
Level 5 : Earth Power
Level 13: Splash
Level 16: Slack Off
Level 20: Sand-Attack
Level 23: Psycho Shift
Level 28: Lock-On
Level 31: Destiny Bond
Level 35: Rollout
Level 42: Nightmare
Level 51: Clamp
Level 58: Bulk Up
Level 66: Grass Knot

355 DUSKULL -> GIBLE
HP  66 
ATK 42 
DEF 62 
SPA 25 
SPD 11 
SPE 67 
Level 1 : Grass Knot
Level 1 : Guard Swap
Level 1 : Lick
Level 1 : Rock Wrecker
Level 6 : Shadow Claw
Level 9 : Sing
Level 14: Horn Drill
Level 17: Water Pulse
Level 22: Softboiled
Level 25: Growl
Level 30: Power Swap
Level 33: Water Spout
Level 38: Mirror Shot
Level 41: Mud Shot
Level 46: Triple Kick
Egg Moves:
 - AncientPower
 - Air Slash
 - Rolling Kick
 - Shadow Punch
 - Milk Drink
 - ViceGrip
 - Thief

356 DUSCLOPS -> PINSIR
HP  78 
ATK 53 
DEF 52 
SPA 12 
SPD 23 
SPE 61 
Level 1 : Light Screen
Level 1 : Outrage
Level 1 : Memento
Level 1 : False Swipe
Level 1 : Psychic
Level 1 : Rain Dance
Level 1 : Fake Out
Level 1 : Force Palm
Level 6 : Glare
Level 9 : Psybeam
Level 14: Role Play
Level 17: Defend Order
Level 22: Hail
Level 25: Sleep Powder
Level 30: Tailwind
Level 33: Water Sport
Level 37: Signal Beam
Level 43: Rage
Level 51: Minimize
Level 61: Imprison

357 TROPIUS ->  (no evolution)
HP  64 
ATK 43 
DEF 91 
SPA 117
SPD 84 
SPE 64 
Level 1 : Screech
Level 1 : Thunder Wave
Level 1 : Force Palm
Level 1 : Brine
Level 7 : Blaze Kick
Level 11: Guard Swap
Level 17: Torment
Level 21: Zen Headbutt
Level 27: Growl
Level 31: GrassWhistle
Level 37: Sludge
Level 41: Thrash
Level 47: Pound
Level 51: Dark Void
Level 57: Razor Leaf
Level 61: Lucky Chant
Egg Moves:
 - Rolling Kick
 - FeatherDance
 - Night Shade
 - Razor Leaf
 - Leaf Storm
 - Fire Blast
 - Shadow Punch
 - Pound
 - Psycho Boost
 - Nasty Plot

358 CHIMECHO ->  (no evolution)
HP  93 
ATK 70 
DEF 64 
SPA 121
SPD 70 
SPE 12 
Level 1 : Bonemerang
Level 1 : Spikes
Level 1 : Stun Spore
Level 1 : Spike Cannon
Level 6 : Reflect
Level 9 : X-Scissor
Level 14: SonicBoom
Level 17: Double-Edge
Level 22: Tailwind
Level 25: Sleep Powder
Level 30: Crunch
Level 33: Low Kick
Level 38: Brave Bird
Level 41: Frenzy Plant
Level 46: Fling
Level 49: Wring Out
Egg Moves:
 - Fissure
 - ExtremeSpeed
 - Brine
 - AncientPower
 - Flatter
 - Heart Swap

359 ABSOL ->  (no evolution)
HP  26 
ATK 106
DEF 74 
SPA 98 
SPD 155
SPE 109
Level 1 : Thunderbolt
Level 1 : Bubble
Level 1 : Grass Knot
Level 1 : Double Kick
Level 4 : Recover
Level 9 : Block
Level 12: Focus Energy
Level 17: Lava Plume
Level 20: SonicBoom
Level 25: SmokeScreen
Level 28: SmellingSalt
Level 33: Wrap
Level 36: Teleport
Level 41: Needle Arm
Level 44: Facade
Level 49: Swallow
Level 52: Agility
Level 57: Punishment
Level 60: Aqua Tail
Level 65: Follow Me
Egg Moves:
 - Dizzy Punch
 - Assurance
 - Dark Void
 - Ice Beam
 - Synthesis
 - Dragon Rush
 - Metal Claw
 - Rock Polish
 - Hyper Fang
 - Pound
 - Draco Meteor
 - Drain Punch
 - Focus Energy

360 WYNAUT -> KANGASKHAN
HP  69 
ATK 48 
DEF 101
SPA 42 
SPD 39 
SPE 71 
Level 1 : Mud Sport
Level 1 : Arm Thrust
Level 1 : Mist Ball
Level 1 : Magnet Bomb
Level 15: Psywave
Level 15: Dive
Level 15: Head Smash
Level 15: DragonBreath

361 SNORUNT -> FROSLASS
HP  31 
ATK 16 
DEF 59 
SPA 10 
SPD 44 
SPE 44 
Level 1 : Me First
Level 1 : Leaf Blade
Level 1 : Taunt
Level 1 : Thunder
Level 4 : Mist
Level 10: Power Swap
Level 13: Growth
Level 19: Fire Spin
Level 22: Swords Dance
Level 28: Hidden Power
Level 31: Discharge
Level 37: Endure
Level 40: Lunar Dance
Level 46: Double Team
Egg Moves:
 - Rain Dance
 - Bubble
 - Brick Break
 - DragonBreath
 - Reversal
 - Charge

362 GLALIE ->  (no evolution)
HP  38 
ATK 34 
DEF 127
SPA 13 
SPD 141
SPE 128
Level 1 : Skull Bash
Level 1 : Icicle Spear
Level 1 : Leech Seed
Level 1 : ThunderPunch
Level 4 : Air Cutter
Level 10: Splash
Level 13: Rock Slide
Level 19: Water Pulse
Level 22: Twister
Level 28: Recover
Level 31: Faint Attack
Level 37: Role Play
Level 40: Body Slam
Level 51: Smog
Level 59: Giga Drain

363 SPHEAL -> REGIGIGAS
HP  20 
ATK 53 
DEF 48 
SPA 60 
SPD 21 
SPE 30 
Level 1 : Lucky Chant
Level 1 : Dive
Level 1 : Tail Glow
Level 1 : Frenzy Plant
Level 7 : Volt Tackle
Level 13: Horn Drill
Level 19: Roar
Level 25: Seismic Toss
Level 31: Moonlight
Level 37: Growth
Level 37: Shadow Punch
Level 43: Psycho Shift
Level 49: Trick Room
Egg Moves:
 - Rock Throw
 - Bullet Seed
 - Focus Blast
 - Magic Coat
 - Spider Web
 - BubbleBeam
 - Cross Poison
 - Encore
 - Reversal
 - Natural Gift

364 SEALEO -> AZELF
HP  30 
ATK 99 
DEF 121
SPA 88 
SPD 85 
SPE 40 
Level 1 : Shadow Claw
Level 1 : Gust
Level 1 : Mega Drain
Level 1 : Steel Wing
Level 7 : Helping Hand
Level 13: Aerial Ace
Level 19: Reversal
Level 25: SmellingSalt
Level 31: Signal Beam
Level 32: Power Whip
Level 39: Mist Ball
Level 39: Mud Sport
Level 47: Double-Edge
Level 55: Flare Blitz

365 WALREIN ->  (no evolution)
HP  96 
ATK 21 
DEF 102
SPA 36 
SPD 160
SPE 105
Level 1 : Magnet Bomb
Level 1 : Tail Whip
Level 1 : Swift
Level 1 : Sharpen
Level 1 : Dragon Claw
Level 7 : FeatherDance
Level 13: Spark
Level 19: Roost
Level 25: Magnitude
Level 31: Taunt
Level 32: Twister
Level 39: Headbutt
Level 39: Sky Attack
Level 44: Egg Bomb
Level 52: Grass Knot
Level 65: Fling

366 CLAMPERL -> MAGNETON
HP  37 
ATK 48 
DEF 35 
SPA 62 
SPD 56 
SPE 42 
Level 1 : Sketch
Level 1 : Snatch
Level 1 : Barrier
Level 1 : Tri Attack
Egg Moves:
 - Reversal
 - Draco Meteor
 - Focus Energy
 - Wrap
 - Mirror Move
 - Fury Swipes
 - Leaf Blade
 - Ice Shard

367 HUNTAIL ->  (no evolution)
HP  51 
ATK 29 
DEF 117
SPA 133
SPD 146
SPE 57 
Level 1 : Dragon Claw
Level 1 : Counter
Level 1 : Acid
Level 1 : Leaf Blade
Level 6 : Bind
Level 10: Mega Drain
Level 15: Seed Bomb
Level 19: Power Swap
Level 24: Psybeam
Level 28: Facade
Level 33: Nightmare
Level 37: Follow Me
Level 42: Sky Uppercut
Level 46: Rock Blast
Level 51: Rollout

368 GOREBYSS ->  (no evolution)
HP  100
ATK 18 
DEF 151
SPA 178
SPD 100
SPE 25 
Level 1 : BubbleBeam
Level 1 : Fire Blast
Level 1 : Cross Chop
Level 1 : Psybeam
Level 6 : Leech Seed
Level 10: Silver Wind
Level 15: Avalanche
Level 19: Sheer Cold
Level 24: Minimize
Level 28: Wish
Level 33: Refresh
Level 37: Mega Kick
Level 42: Sand Tomb
Level 46: Dark Pulse
Level 51: Screech

369 RELICANTH ->  (no evolution)
HP  110
ATK 22 
DEF 47 
SPA 66 
SPD 106
SPE 112
Level 1 : Explosion
Level 1 : Leech Seed
Level 1 : Rock Blast
Level 1 : Hyper Beam
Level 8 : Icy Wind
Level 15: Water Spout
Level 22: Dragon Rage
Level 29: Hail
Level 36: Swords Dance
Level 43: Scary Face
Level 50: DynamicPunch
Level 57: Double Hit
Level 64: Force Palm
Level 71: Psycho Cut
Level 78: Powder Snow
Egg Moves:
 - Swords Dance
 - Horn Attack
 - Dragon Rush
 - Thief
 - Hyper Fang
 - Iron Head
 - Sacred Fire
 - Dark Void
 - Vacuum Wave
 - Faint Attack

370 LUVDISC ->  (no evolution)
HP  88 
ATK 96 
DEF 107
SPA 75 
SPD 25 
SPE 97 
Level 1 : Psych Up
Level 1 : Dream Eater
Level 1 : DoubleSlap
Level 1 : Magma Storm
Level 4 : Hyper Fang
Level 7 : Punishment
Level 9 : Flamethrower
Level 14: Avalanche
Level 17: Knock Off
Level 22: Wood Hammer
Level 27: Teleport
Level 31: Conversion
Level 37: Bonemerang
Level 40: Assurance
Level 46: Blaze Kick
Level 51: Twineedle
Egg Moves:
 - Stealth Rock
 - Dark Pulse
 - Focus Punch
 - Hyper Beam
 - Ice Fang
 - Skull Bash
 - Fury Swipes

371 BAGON -> SKIPLOOM
HP  20 
ATK 51 
DEF 35 
SPA 34 
SPD 25 
SPE 60 
Level 1 : Hammer Arm
Level 1 : Petal Dance
Level 1 : Mist
Level 1 : Megahorn
Level 5 : Bite
Level 10: Sleep Powder
Level 16: Zen Headbutt
Level 20: Pain Split
Level 25: Mirror Shot
Level 31: Gastro Acid
Level 35: Take Down
Level 40: Bounce
Level 46: Beat Up
Level 50: Spacial Rend
Level 55: Haze
Egg Moves:
 - Odor Sleuth
 - String Shot
 - Mind Reader
 - Silver Wind
 - Needle Arm
 - Chatter
 - Magma Storm
 - Hammer Arm

372 SHELGON -> PRIMEAPE
HP  20 
ATK 88 
DEF 96 
SPA 38 
SPD 86 
SPE 11 
Level 1 : Thunder Fang
Level 1 : Dark Void
Level 1 : Rock Throw
Level 1 : Vital Throw
Level 5 : Scratch
Level 10: Super Fang
Level 16: Harden
Level 20: Sky Uppercut
Level 25: Rage
Level 30: Hidden Power
Level 32: Water Spout
Level 37: Heart Swap
Level 43: Mist Ball
Level 50: Extrasensory
Level 55: Knock Off
Level 61: Shadow Ball

373 SALAMENCE ->  (no evolution)
HP  22 
ATK 142
DEF 12 
SPA 16 
SPD 121
SPE 149
Level 1 : Wood Hammer
Level 1 : Drill Peck
Level 1 : Icicle Spear
Level 1 : Heal Bell
Level 1 : Poison Gas
Level 1 : Hammer Arm
Level 5 : Sketch
Level 10: Dizzy Punch
Level 16: DragonBreath
Level 20: Pound
Level 25: Eruption
Level 30: Mean Look
Level 32: Future Sight
Level 37: Charge Beam
Level 43: Teleport
Level 50: Sweet Kiss
Level 53: Fury Cutter
Level 61: Dive
Level 70: Super Fang

374 BELDUM -> ROTOM
HP  20 
ATK 33 
DEF 40 
SPA 57 
SPD 25 
SPE 85 
Level 1 : Taunt
Level 1 : Aerial Ace
Level 1 : Grudge
Level 1 : Blaze Kick

375 METANG -> ARIADOS
HP  53 
ATK 60 
DEF 70 
SPA 29 
SPD 23 
SPE 29 
Level 1 : Razor Leaf
Level 1 : Fury Swipes
Level 1 : Focus Energy
Level 1 : Spike Cannon
Level 20: Lucky Chant
Level 20: Energy Ball
Level 24: Swagger
Level 28: Wrap
Level 32: Cotton Spore
Level 36: Detect
Level 40: Imprison
Level 44: Sunny Day
Level 48: Minimize
Level 52: Poison Jab
Level 56: Dragon Pulse

376 METAGROSS ->  (no evolution)
HP  159
ATK 86 
DEF 42 
SPA 33 
SPD 102
SPE 50 
Level 1 : Slash
Level 1 : Wing Attack
Level 1 : Rage
Level 1 : Cross Poison
Level 20: Present
Level 20: Flare Blitz
Level 24: PoisonPowder
Level 28: Leech Seed
Level 32: Judgment
Level 36: Mirror Coat
Level 40: Pound
Level 44: Shadow Sneak
Level 45: Captivate
Level 53: Destiny Bond
Level 62: Jump Kick
Level 71: Lava Plume

377 REGIROCK ->  (no evolution)
HP  62 
ATK 69 
DEF 101
SPA 70 
SPD 106
SPE 65 
Level 1 : Teleport
Level 1 : Acid
Level 1 : Aeroblast
Level 1 : Discharge
Level 9 : Leaf Storm
Level 17: Drain Punch
Level 25: Skull Bash
Level 33: Aqua Jet
Level 41: Pay Day
Level 49: Perish Song
Level 57: ExtremeSpeed
Level 65: Fire Fang
Level 73: Triple Kick
Level 81: Heal Bell
Level 89: Rock Blast

378 REGICE ->  (no evolution)
HP  21 
ATK 35 
DEF 17 
SPA 207
SPD 68 
SPE 89 
Level 1 : Horn Attack
Level 1 : Mimic
Level 1 : Fury Attack
Level 1 : AncientPower
Level 9 : Brave Bird
Level 17: Uproar
Level 25: Volt Tackle
Level 33: Fire Spin
Level 41: Dragon Pulse
Level 49: Focus Punch
Level 57: Hyper Fang
Level 65: DragonBreath
Level 73: Seed Bomb
Level 81: Nature Power
Level 89: Fire Blast

379 REGISTEEL ->  (no evolution)
HP  24 
ATK 129
DEF 134
SPA 139
SPD 44 
SPE 30 
Level 1 : Fake Out
Level 1 : Needle Arm
Level 1 : Defog
Level 1 : Aerial Ace
Level 9 : Power Gem
Level 17: Dragon Dance
Level 25: Bone Club
Level 33: Blaze Kick
Level 41: Helping Hand
Level 41: Submission
Level 49: Mud-Slap
Level 57: Teleport
Level 65: Stomp
Level 73: Fury Attack
Level 73: Aurora Beam
Level 81: Vacuum Wave
Level 89: Frenzy Plant

380 LATIAS ->  (no evolution)
HP  140
ATK 91 
DEF 86 
SPA 92 
SPD 64 
SPE 12 
Level 1 : Softboiled
Level 1 : Double Kick
Level 1 : Seed Flare
Level 1 : Lava Plume
Level 5 : Curse
Level 10: Poison Jab
Level 15: Dark Pulse
Level 20: Cosmic Power
Level 25: Ice Ball
Level 30: Defog
Level 35: Grudge
Level 40: Supersonic
Level 45: Iron Head
Level 50: GrassWhistle
Level 55: Sing
Level 60: Twineedle
Level 65: Swallow
Level 70: Ice Shard

381 LATIOS ->  (no evolution)
HP  145
ATK 59 
DEF 56 
SPA 110
SPD 107
SPE 98 
Level 1 : Dig
Level 1 : GrassWhistle
Level 1 : Lock-On
Level 1 : Razor Wind
Level 5 : Spider Web
Level 10: Fire Fang
Level 15: Nasty Plot
Level 20: Acid
Level 25: SmokeScreen
Level 30: Growl
Level 35: Fire Blast
Level 40: Wish
Level 45: Recover
Level 50: Perish Song
Level 55: Spore
Level 60: Seismic Toss
Level 65: Psych Up
Level 70: Bug Bite

382 KYOGRE ->  (no evolution)
HP  73 
ATK 75 
DEF 62 
SPA 129
SPD 48 
SPE 119
Level 1 : Ice Fang
Level 1 : Charge
Level 1 : Vacuum Wave
Level 1 : Water Pulse
Level 5 : Wring Out
Level 15: Pay Day
Level 20: Bite
Level 30: Spit Up
Level 35: Powder Snow
Level 45: Sweet Kiss
Level 50: Double Hit
Level 60: Toxic
Level 65: Spite
Level 75: Haze
Level 80: Acupressure
Level 90: Screech

383 GROUDON ->  (no evolution)
HP  68 
ATK 98 
DEF 113
SPA 57 
SPD 88 
SPE 43 
Level 1 : Nightmare
Level 1 : Poison Fang
Level 1 : Sweet Scent
Level 1 : Ice Beam
Level 5 : Rollout
Level 15: Fake Tears
Level 20: Reflect
Level 30: Bite
Level 35: Haze
Level 45: Destiny Bond
Level 50: Hypnosis
Level 60: Belly Drum
Level 65: Head Smash
Level 75: Metal Burst
Level 80: Pain Split
Level 90: Wring Out

384 RAYQUAZA ->  (no evolution)
HP  67 
ATK 121
DEF 61 
SPA 75 
SPD 95 
SPE 121
Level 1 : Amnesia
Level 1 : Beat Up
Level 1 : Pound
Level 1 : Judgment
Level 5 : Snore
Level 15: Poison Fang
Level 20: Aqua Jet
Level 30: Shock Wave
Level 35: Focus Punch
Level 45: Assurance
Level 50: Energy Ball
Level 60: Nightmare
Level 65: Shadow Punch
Level 75: Camouflage
Level 80: Psywave
Level 90: Stone Edge

385 JIRACHI ->  (no evolution)
HP  147
ATK 96 
DEF 13 
SPA 133
SPD 83 
SPE 13 
Level 1 : Brave Bird
Level 1 : Sludge Bomb
Level 1 : Rest
Level 1 : Flame Wheel
Level 5 : Baton Pass
Level 10: Wake-Up Slap
Level 15: Defend Order
Level 20: Cotton Spore
Level 25: Faint Attack
Level 30: Future Sight
Level 35: Toxic
Level 40: Pain Split
Level 45: Shadow Force
Level 50: Spite
Level 55: Poison Fang
Level 60: Attack Order
Level 65: Hidden Power
Level 70: Amnesia

386 DEOXYS ->  (no evolution)
HP  65 
ATK 32 
DEF 65 
SPA 111
SPD 102
SPE 55 
Level 1 : Embargo
Level 1 : Sucker Punch
Level 1 : Ember
Level 1 : Sludge Bomb
Level 9 : Fury Attack
Level 17: Quick Attack
Level 25: Vacuum Wave
Level 33: Mirror Coat
Level 41: Psycho Shift
Level 49: Dragon Pulse
Level 57: Wring Out
Level 65: Wish
Level 73: Belly Drum
Level 81: Gunk Shot
Level 89: Hammer Arm
Level 97: GrassWhistle

387 TURTWIG -> DARKRAI
HP  50 
ATK 108
DEF 102
SPA 80 
SPD 33 
SPE 97 
Level 1 : Vine Whip
Level 1 : Poison Tail
Level 1 : Close Combat
Level 1 : DynamicPunch
Level 5 : Lock-On
Level 9 : Slam
Level 13: Bounce
Level 17: Foresight
Level 21: Earth Power
Level 25: Mist
Level 29: Heart Swap
Level 33: Reversal
