Randomizer Version: 4.4.0
Random Seed: 89045239238659
Settings String: 318WRIEEgKXAJoAnQCRAAKeBnsECQEAFAACCQAuEgAAAAAADBCI5ATkQYYICTIGBQIyAAUVUG9rZW1vbiBIZWFydEdvbGQgKFUpgH3a3ePDOIo=

--Randomized Evolutions--
BULBASAUR       -> BAYLEEF        
Level 1 : Uproar
Level 10: Hyper Fang
Level 19: Confusion
Level 28: Pluck
Level 37: Tackle
Level 46: Amnesia
Level 55: Zap Cannon
Level 64: Spacial Rend
Level 73: Charge Beam
Level 82: Stomp
Level 91: Sleep Powder

252 TREECKO -> GLOOM
HP  31 
ATK 46 
DEF 73 
SPA 71 
SPD 66 
SPE 23 
Level 1 : Punishment
Level 1 : Lava Plume
Level 1 : Gyro Ball
Level 1 : Karate Chop
Level 6 : Power Whip
Level 11: Thunder
Level 16: Transform
Level 21: Dig
Level 26: Screech
Level 31: Knock Off
Level 36: Pound
Level 41: Nasty Plot
Level 46: Cross Chop
Level 51: Flail

253 GROVYLE -> LEAFEON
HP  67 
ATK 27 
DEF 67 
SPA 93 
SPD 51 
SPE 100
Level 1 : Taunt
Level 1 : Water Pulse
Level 1 : Feint
Level 1 : Eruption
Level 6 : Spike Cannon
Level 11: Aerial Ace
Level 16: Nasty Plot
Level 17: Acupressure
Level 23: Take Down
Level 29: Howl
Level 35: Knock Off
Level 41: Fire Blast
Level 47: BubbleBeam
Level 53: Dragon Dance
Level 59: Tail Glow

254 SCEPTILE ->  (no evolution)
HP  48 
ATK 102
DEF 186
SPA 11 
SPD 124
SPE 59 
Level 1 : Lovely Kiss
Level 1 : Mud Shot
Level 1 : Uproar
Level 1 : Extrasensory
Level 1 : Close Combat
Level 6 : Endeavor
Level 11: Lick
Level 16: Barrier
Level 17: Wrap
Level 23: Mud-Slap
Level 29: Aura Sphere
Level 35: Sludge
Level 43: Aqua Tail
Level 51: Flame Wheel
Level 59: Psywave
Level 67: Magnet Bomb

255 TORCHIC -> MAGBY
HP  24 
ATK 50 
DEF 79 
SPA 53 
SPD 66 
SPE 38 
Level 1 : Switcheroo
Level 1 : DynamicPunch
Level 1 : Dive
Level 1 : SolarBeam
Level 7 : Defend Order
Level 10: Bite
Level 16: Confusion
Level 19: Rock Wrecker
Level 25: Me First
Level 28: Flash
Level 34: Odor Sleuth
Level 37: Teeter Dance
Level 43: Spore

256 COMBUSKEN -> LUCARIO
HP  56 
ATK 11 
DEF 96 
SPA 119
SPD 62 
SPE 60 
Level 1 : Mega Kick
Level 1 : Absorb
Level 1 : Bonemerang
Level 1 : Luster Purge
Level 7 : Night Slash
Level 13: Metal Sound
Level 16: Dizzy Punch
Level 17: Sheer Cold
Level 21: Destiny Bond
Level 28: ExtremeSpeed
Level 32: Spike Cannon
Level 39: Sleep Powder
Level 43: Dark Pulse
Level 50: DoubleSlap
Level 54: Encore

257 BLAZIKEN ->  (no evolution)
HP  170
ATK 148
DEF 22 
SPA 127
SPD 11 
SPE 51 
Level 1 : Poison Jab
Level 1 : Poison Sting
Level 1 : Muddy Water
Level 1 : Magnet Rise
Level 1 : Luster Purge
Level 7 : Spit Up
Level 13: Reflect
Level 16: Egg Bomb
Level 17: Morning Sun
Level 21: Sweet Kiss
Level 28: Vine Whip
Level 32: GrassWhistle
Level 36: Thunderbolt
Level 42: Conversion 2
Level 49: Assurance
Level 59: Secret Power
Level 66: Perish Song

258 MUDKIP -> BIBAREL
HP  71 
ATK 95 
DEF 25 
SPA 47 
SPD 58 
SPE 14 
Level 1 : Ice Shard
Level 1 : Submission
Level 1 : Dragon Claw
Level 1 : Poison Tail
Level 6 : Mega Punch
Level 10: Defend Order
Level 15: Zen Headbutt
Level 19: Teleport
Level 24: Aromatherapy
Level 28: Rock Wrecker
Level 33: Me First
Level 37: Lock-On
Level 42: Morning Sun
Level 46: Pound

259 MARSHTOMP -> NIDOQUEEN
HP  88 
ATK 26 
DEF 37 
SPA 113
SPD 120
SPE 23 
Level 1 : Ingrain
Level 1 : Earth Power
Level 1 : Rock Blast
Level 1 : Dragon Pulse
Level 6 : Punishment
Level 10: Fury Cutter
Level 15: Razor Leaf
Level 16: Natural Gift
Level 20: Magical Leaf
Level 25: Screech
Level 31: Synthesis
Level 37: Supersonic
Level 42: Disable
Level 46: Sand-Attack
Level 53: Teeter Dance

260 SWAMPERT ->  (no evolution)
HP  93 
ATK 17 
DEF 134
SPA 28 
SPD 160
SPE 104
Level 1 : AncientPower
Level 1 : Body Slam
Level 1 : Low Kick
Level 1 : Mud Shot
Level 6 : Sleep Talk
Level 10: Needle Arm
Level 15: Zen Headbutt
Level 16: Lovely Kiss
Level 20: Mist
Level 25: Counter
Level 31: Bullet Punch
Level 39: Crush Claw
Level 46: Air Slash
Level 52: Tri Attack
Level 61: Worry Seed
Level 69: Bug Buzz

261 POOCHYENA -> DRAPION
HP  51 
ATK 39 
DEF 32 
SPA 11 
SPD 48 
SPE 39 
Level 1 : Octazooka
Level 1 : Poison Jab
Level 1 : Confusion
Level 1 : Power Whip
Level 5 : Acupressure
Level 9 : DragonBreath
Level 13: Wish
Level 17: Horn Drill
Level 21: Dig
Level 25: Psych Up
Level 29: Mist
Level 33: String Shot
Level 37: Selfdestruct
Level 41: Bulk Up
Level 45: Taunt
Level 49: Swagger
Level 53: Thief

262 MIGHTYENA ->  (no evolution)
HP  114
ATK 75 
DEF 31 
SPA 57 
SPD 77 
SPE 65 
Level 1 : Swallow
Level 1 : Aromatherapy
Level 1 : Rock Polish
Level 1 : Giga Impact
Level 5 : Captivate
Level 9 : Rest
Level 13: Sunny Day
Level 17: Slack Off
Level 22: Drill Peck
Level 27: Double Team
Level 32: Flash
Level 37: FeatherDance
Level 42: Scratch
Level 47: Magnitude
Level 52: Confuse Ray
Level 57: Blast Burn
Level 62: Nightmare

263 ZIGZAGOON -> PURUGLY
HP  41 
ATK 32 
DEF 59 
SPA 46 
SPD 43 
SPE 20 
Level 1 : Needle Arm
Level 1 : Chatter
Level 1 : BubbleBeam
Level 1 : Giga Impact
Level 5 : Assist
Level 9 : Outrage
Level 13: DynamicPunch
Level 17: Hyper Fang
Level 21: Charge
Level 25: Flail
Level 29: Teeter Dance
Level 33: Water Sport
Level 37: Rollout
Level 41: Lunar Dance
Level 45: DragonBreath

264 LINOONE ->  (no evolution)
HP  123
ATK 23 
DEF 119
SPA 24 
SPD 50 
SPE 81 
Level 1 : Fury Cutter
Level 1 : Muddy Water
Level 1 : Tailwind
Level 1 : Doom Desire
Level 1 : Confusion
Level 5 : Psychic
Level 9 : Fire Punch
Level 13: Light Screen
Level 17: ViceGrip
Level 23: Power Whip
Level 29: Lick
Level 35: Recover
Level 41: Superpower
Level 47: Tri Attack
Level 53: Earth Power
Level 59: Sunny Day

265 WURMPLE -> METAPOD
HP  59 
ATK 12 
DEF 46 
SPA 20 
SPD 36 
SPE 23 
Level 1 : Vacuum Wave
Level 1 : Will-O-Wisp
Level 1 : Iron Tail
Level 1 : Cross Poison
Level 5 : Water Gun
Level 15: Roost

266 SILCOON -> YANMA
HP  52 
ATK 42 
DEF 23 
SPA 19 
SPD 40 
SPE 30 
Level 1 : Thunder Fang
Level 1 : Vital Throw
Level 1 : Screech
Level 1 : Bug Bite
Level 7 : Sheer Cold

267 BEAUTIFLY ->  (no evolution)
HP  52 
ATK 114
DEF 34 
SPA 58 
SPD 96 
SPE 31 
Level 1 : Sludge
Level 1 : Submission
Level 1 : Spit Up
Level 1 : Uproar
Level 10: Sucker Punch
Level 13: Frustration
Level 17: Copycat
Level 20: Psycho Cut
Level 24: Mud Shot
Level 27: Brave Bird
Level 31: Hammer Arm
Level 34: Zap Cannon
Level 38: Egg Bomb
Level 41: SonicBoom

268 CASCOON -> ANORITH
HP  46 
ATK 46 
DEF 32 
SPA 34 
SPD 35 
SPE 12 
Level 1 : Captivate
Level 1 : Substitute
Level 1 : Aura Sphere
Level 1 : Faint Attack
Level 7 : Submission

269 DUSTOX ->  (no evolution)
HP  65 
ATK 67 
DEF 86 
SPA 23 
SPD 84 
SPE 59 
Level 1 : Judgment
Level 1 : Bone Club
Level 1 : Rain Dance
Level 1 : Drain Punch
Level 10: Ice Punch
Level 13: Lucky Chant
Level 17: Fake Out
Level 20: Rolling Kick
Level 24: Leaf Storm
Level 27: Bonemerang
Level 31: Thunder Fang
Level 34: Shock Wave
Level 38: Hyper Fang
Level 41: Teleport

270 LOTAD -> LUVDISC
HP  64 
ATK 13 
DEF 56 
SPA 29 
SPD 46 
SPE 13 
Level 1 : Steel Wing
Level 1 : Pay Day
Level 1 : Brave Bird
Level 1 : Leaf Storm
Level 3 : Attack Order
Level 5 : Razor Wind
Level 7 : Giga Impact
Level 11: Sleep Powder
Level 15: Leer
Level 19: Foresight
Level 25: Body Slam
Level 31: Sunny Day
Level 37: Silver Wind
Level 45: Spite

271 LOMBRE -> RELICANTH
HP  39 
ATK 27 
DEF 25 
SPA 82 
SPD 98 
SPE 69 
Level 1 : Facade
Level 1 : ExtremeSpeed
Level 1 : Sharpen
Level 1 : Water Spout
Level 3 : Aerial Ace
Level 5 : Iron Defense
Level 7 : Comet Punch
Level 11: Crush Grip
Level 15: Sand-Attack
Level 19: Mud Sport
Level 25: Future Sight
Level 31: Screech
Level 37: Lava Plume
Level 45: Dragon Pulse

272 LUDICOLO ->  (no evolution)
HP  21 
ATK 108
DEF 41 
SPA 113
SPD 36 
SPE 162
Level 1 : Spikes
Level 1 : Dragon Rage
Level 1 : Petal Dance
Level 1 : Spacial Rend

273 SEEDOT -> EXEGGCUTE
HP  68 
ATK 36 
DEF 27 
SPA 51 
SPD 12 
SPE 25 
Level 1 : Dark Pulse
Level 1 : Sucker Punch
Level 1 : Cotton Spore
Level 1 : Drill Peck
Level 3 : Sacred Fire
Level 7 : Psycho Shift
Level 13: Mega Punch
Level 21: Doom Desire
Level 31: Ember
Level 43: Aerial Ace

274 NUZLEAF -> UMBREON
HP  34 
ATK 77 
DEF 33 
SPA 67 
SPD 94 
SPE 35 
Level 1 : Shadow Punch
Level 1 : GrassWhistle
Level 1 : Revenge
Level 1 : Air Slash
Level 3 : Razor Wind
Level 7 : Bug Buzz
Level 13: Gunk Shot
Level 19: Thunder Fang
Level 25: Hi Jump Kick
Level 31: Mega Punch
Level 37: Conversion 2
Level 43: Blaze Kick
Level 49: Return

275 SHIFTRY ->  (no evolution)
HP  98 
ATK 95 
DEF 73 
SPA 33 
SPD 94 
SPE 87 
Level 1 : Comet Punch
Level 1 : DoubleSlap
Level 1 : Frenzy Plant
Level 1 : Vital Throw
Level 49: Mud Sport

276 TAILLOW -> MURKROW
HP  32 
ATK 90 
DEF 47 
SPA 27 
SPD 12 
SPE 62 
Level 1 : Pain Split
Level 1 : Perish Song
Level 1 : Silver Wind
Level 1 : Dragon Rush
Level 4 : Mega Kick
Level 8 : Egg Bomb
Level 13: Tail Whip
Level 19: Mega Drain
Level 26: ThunderPunch
Level 34: Powder Snow
Level 43: Rock Slide
Level 53: Water Spout

277 SWELLOW ->  (no evolution)
HP  110
ATK 77 
DEF 83 
SPA 76 
SPD 26 
SPE 58 
Level 1 : Hidden Power
Level 1 : Leer
Level 1 : Milk Drink
Level 1 : Comet Punch
Level 1 : Faint Attack
Level 4 : X-Scissor
Level 8 : Knock Off
Level 13: Clamp
Level 19: Morning Sun
Level 28: Wake-Up Slap
Level 38: Avalanche
Level 49: AncientPower
Level 61: Psycho Boost

278 WINGULL -> CHATOT
HP  34 
ATK 50 
DEF 66 
SPA 14 
SPD 87 
SPE 20 
Level 1 : Hi Jump Kick
Level 1 : Nature Power
Level 1 : Follow Me
Level 1 : Faint Attack
Level 6 : Meteor Mash
Level 11: Body Slam
Level 16: Heal Block
Level 19: Water Sport
Level 24: Shadow Claw
Level 29: Explosion
Level 34: U-turn
Level 37: Helping Hand
Level 42: Hidden Power
Level 47: Thunder Fang

279 PELIPPER ->  (no evolution)
HP  96 
ATK 64 
DEF 82 
SPA 85 
SPD 25 
SPE 78 
Level 1 : Defend Order
Level 1 : Sleep Powder
Level 1 : Iron Head
Level 1 : Seed Flare
Level 6 : Giga Impact
Level 11: Return
Level 16: Zap Cannon
Level 19: Frustration
Level 24: Ingrain
Level 25: ViceGrip
Level 31: Attack Order
Level 38: Feint
Level 38: Defense Curl
Level 38: Dragon Rush
Level 43: Superpower
Level 50: Light Screen
Level 57: Bullet Seed

280 RALTS -> BRONZOR
HP  49 
ATK 30 
DEF 34 
SPA 40 
SPD 20 
SPE 26 
Level 1 : Bullet Seed
Level 1 : Stockpile
Level 1 : Gust
Level 1 : Flamethrower
Level 6 : Rock Polish
Level 10: Taunt
Level 12: Snatch
Level 17: Trick
Level 21: Aurora Beam
Level 23: Psych Up
Level 28: Hidden Power
Level 32: Fury Attack
Level 34: Jump Kick
Level 39: Flash Cannon
Level 43: Bullet Punch
Level 45: Imprison

281 KIRLIA -> MR. MIME
HP  31 
ATK 63 
DEF 13 
SPA 45 
SPD 43 
SPE 82 
Level 1 : Glare
Level 1 : Aqua Ring
Level 1 : Iron Head
Level 1 : Brick Break
Level 6 : Sand Tomb
Level 10: Spite
Level 12: Feint
Level 17: Tackle
Level 22: Sandstorm
Level 25: Assist
Level 31: Attract
Level 36: Heal Block
Level 39: Gust
Level 45: Supersonic
Level 50: Charge
Level 53: Skill Swap

282 GARDEVOIR ->  (no evolution)
HP  208
ATK 121
DEF 15 
SPA 102
SPD 36 
SPE 36 
Level 1 : Double Kick
Level 1 : Fury Attack
Level 1 : Peck
Level 1 : Crabhammer
Level 1 : ExtremeSpeed
Level 6 : Horn Attack
Level 10: Tickle
Level 12: Volt Tackle
Level 17: Sleep Talk
Level 22: Powder Snow
Level 25: Head Smash
Level 33: Gust
Level 40: Silver Wind
Level 45: Curse
Level 53: Rage
Level 60: ThunderPunch
Level 65: Ominous Wind

283 SURSKIT -> BEEDRILL
HP  87 
ATK 46 
DEF 34 
SPA 49 
SPD 13 
SPE 40 
Level 1 : Flash Cannon
Level 1 : Blizzard
Level 1 : Outrage
Level 1 : DragonBreath
Level 7 : Healing Wish
Level 13: Tackle
Level 19: Acid Armor
Level 25: Endeavor
Level 31: Giga Drain
Level 37: Dragon Rage
Level 37: Blast Burn
Level 43: Kinesis

284 MASQUERAIN ->  (no evolution)
HP  137
ATK 94 
DEF 71 
SPA 41 
SPD 45 
SPE 25 
Level 1 : Growth
Level 1 : Slam
Level 1 : Mud Sport
Level 1 : Ice Ball
Level 1 : Hi Jump Kick
Level 7 : Sweet Scent
Level 13: Air Cutter
Level 19: PoisonPowder
Level 22: Ingrain
Level 26: Stockpile
Level 33: Bullet Punch
Level 40: SmellingSalt
Level 47: Selfdestruct
Level 54: Rest
Level 61: Thunder Wave

285 SHROOMISH -> CHERRIM
HP  37 
ATK 41 
DEF 65 
SPA 59 
SPD 24 
SPE 69 
Level 1 : Take Down
Level 1 : Power Whip
Level 1 : Heal Block
Level 1 : Secret Power
Level 5 : Reversal
Level 9 : Dragon Claw
Level 13: Switcheroo
Level 17: Mimic
Level 21: Conversion 2
Level 25: Energy Ball
Level 29: Refresh
Level 33: Detect
Level 37: Water Gun
Level 41: Embargo
Level 45: Power Gem

286 BRELOOM ->  (no evolution)
HP  107
ATK 103
DEF 96 
SPA 46 
SPD 90 
SPE 17 
Level 1 : Mirror Coat
Level 1 : Pursuit
Level 1 : Imprison
Level 1 : Rock Slide
Level 5 : Nightmare
Level 9 : Dragon Pulse
Level 13: Sweet Scent
Level 17: Spikes
Level 21: Shadow Force
Level 23: Tailwind
Level 25: DynamicPunch
Level 29: Mud Bomb
Level 33: Mist
Level 37: Facade
Level 41: Crabhammer
Level 45: Switcheroo

287 SLAKOTH -> PERSIAN
HP  23 
ATK 78 
DEF 70 
SPA 25 
SPD 11 
SPE 74 
Level 1 : Air Cutter
Level 1 : Gyro Ball
Level 1 : Psycho Boost
Level 1 : Wake-Up Slap
Level 7 : Lunar Dance
Level 13: Flame Wheel
Level 19: Gravity
Level 25: Sweet Kiss
Level 31: Stone Edge
Level 37: Payback
Level 43: Close Combat

288 VIGOROTH -> BLISSEY
HP  93 
ATK 86 
DEF 83 
SPA 67 
SPD 57 
SPE 55 
Level 1 : Karate Chop
Level 1 : Rock Wrecker
Level 1 : Twister
Level 1 : Signal Beam
Level 7 : Pain Split
Level 13: Guard Swap
Level 19: Shadow Force
Level 25: Force Palm
Level 31: Vacuum Wave
Level 37: Mist Ball
Level 43: Scratch
Level 49: Roar of Time

289 SLAKING ->  (no evolution)
HP  192
ATK 91 
DEF 155
SPA 118
SPD 51 
SPE 63 
Level 1 : Fake Out
Level 1 : Razor Leaf
Level 1 : Lovely Kiss
Level 1 : Karate Chop
Level 7 : Grudge
Level 13: Protect
Level 19: Superpower
Level 25: Slack Off
Level 31: Tackle
Level 36: Extrasensory
Level 37: SonicBoom
Level 43: Fire Blast
Level 49: Water Sport
Level 55: Air Cutter
Level 61: Hydro Pump

290 NINCADA -> VESPIQUEN
HP  78 
ATK 16 
DEF 38 
SPA 43 
SPD 58 
SPE 33 
Level 1 : Trick
Level 1 : Bullet Punch
Level 1 : Uproar
Level 1 : Extrasensory
Level 5 : Poison Jab
Level 9 : Endure
Level 14: Magma Storm
Level 19: Wood Hammer
Level 25: Meteor Mash
Level 31: Rock Tomb
Level 38: Slack Off
Level 45: Drain Punch

291 NINJASK ->  (no evolution)
HP  151
ATK 20 
DEF 24 
SPA 136
SPD 88 
SPE 37 
Level 1 : Future Sight
Level 1 : Amnesia
Level 1 : DragonBreath
Level 1 : Water Sport
Level 1 : Seed Flare
Level 5 : FeatherDance
Level 9 : Bone Rush
Level 14: Seismic Toss
Level 19: Chatter
Level 20: Scary Face
Level 20: Quick Attack
Level 20: Nature Power
Level 25: Frustration
Level 31: Metal Claw
Level 38: Charge Beam
Level 45: Splash
Level 52: Wood Hammer

292 SHEDINJA ->  (no evolution)
HP  1  
ATK 30 
DEF 40 
SPA 62 
SPD 50 
SPE 52 
Level 1 : Punishment
Level 1 : Hydro Pump
Level 1 : Steel Wing
Level 1 : ExtremeSpeed
Level 5 : Beat Up
Level 9 : Icy Wind
Level 14: Super Fang
Level 19: Taunt
Level 25: Defend Order
Level 31: Leech Seed
Level 38: Psywave
Level 45: Twineedle
Level 52: Stomp
Level 59: Sleep Talk

293 WHISMUR -> STARAVIA
HP  37 
ATK 15 
DEF 40 
SPA 52 
SPD 77 
SPE 19 
Level 1 : Ice Ball
Level 1 : Stomp
Level 1 : Conversion 2
Level 1 : Sludge
Level 5 : Poison Jab
Level 11: Octazooka
Level 15: Spark
Level 21: Lava Plume
Level 25: Volt Tackle
Level 31: Sleep Powder
Level 35: Sharpen
Level 41: Transform
Level 41: Odor Sleuth
Level 45: Confuse Ray

294 LOUDRED -> CHANSEY
HP  65 
ATK 49 
DEF 59 
SPA 99 
SPD 67 
SPE 20 
Level 1 : Psycho Boost
Level 1 : Conversion 2
Level 1 : Haze
Level 1 : Hyper Voice
Level 5 : Switcheroo
Level 11: Fire Fang
Level 15: Heart Swap
Level 20: Metal Burst
Level 23: Twineedle
Level 29: Ice Punch
Level 37: Explosion
Level 43: Fury Attack
Level 51: Mimic
Level 51: ThunderPunch
Level 57: Teleport

295 EXPLOUD ->  (no evolution)
HP  117
ATK 66 
DEF 45 
SPA 81 
SPD 75 
SPE 97 
Level 1 : Magnet Bomb
Level 1 : Sunny Day
Level 1 : Bug Buzz
Level 1 : Captivate
Level 1 : Icicle Spear
Level 1 : Power Trick
Level 1 : Shadow Ball
Level 5 : Screech
Level 11: Follow Me
Level 15: Dizzy Punch
Level 20: Magma Storm
Level 23: Miracle Eye
Level 29: Metronome
Level 37: Needle Arm
Level 40: Block
Level 45: Explosion
Level 55: Withdraw
Level 55: Sky Uppercut
Level 63: Morning Sun
Level 71: Meteor Mash

296 MAKUHITA -> HITMONLEE
HP  52 
ATK 44 
DEF 40 
SPA 27 
SPD 18 
SPE 56 
Level 1 : Mega Kick
Level 1 : Air Cutter
Level 1 : Stone Edge
Level 1 : Luster Purge
Level 4 : Ominous Wind
Level 7 : Mist
Level 10: Magical Leaf
Level 13: Egg Bomb
Level 16: Muddy Water
Level 19: Minimize
Level 22: Psycho Shift
Level 25: Psywave
Level 28: Secret Power
Level 31: Snore
Level 34: Ice Ball
Level 37: Hyper Voice
Level 40: Bounce
Level 43: Megahorn

297 HARIYAMA ->  (no evolution)
HP  134
ATK 45 
DEF 55 
SPA 92 
SPD 122
SPE 27 
Level 1 : Attack Order
Level 1 : Worry Seed
Level 1 : Skill Swap
Level 1 : Avalanche
Level 1 : Leaf Storm
Level 4 : Flail
Level 7 : Muddy Water
Level 10: Twineedle
Level 13: SmokeScreen
Level 16: Bug Buzz
Level 19: Sand-Attack
Level 22: Block
Level 27: Bulk Up
Level 32: Teeter Dance
Level 37: Flash Cannon
Level 42: Air Slash
Level 47: Snatch
Level 52: Calm Mind
Level 57: Me First

298 AZURILL -> HOOTHOOT
HP  49 
ATK 24 
DEF 11 
SPA 11 
SPD 64 
SPE 31 
Level 1 : Focus Energy
Level 1 : Attack Order
Level 1 : Endure
Level 1 : Magma Storm
Level 2 : Minimize
Level 7 : Eruption
Level 10: Wring Out
Level 15: Giga Drain
Level 18: Hypnosis

299 NOSEPASS -> KABUTOPS
HP  61 
ATK 69 
DEF 65 
SPA 27 
SPD 65 
SPE 89 
Level 1 : Rock Tomb
Level 1 : Attack Order
Level 1 : Miracle Eye
Level 1 : Slash
Level 7 : Triple Kick
Level 13: Razor Wind
Level 19: Wring Out
Level 25: Endure
Level 31: Follow Me
Level 37: Headbutt
Level 43: Blast Burn
Level 49: Brine
Level 55: Heal Bell
Level 61: Lock-On
Level 67: Pain Split
Level 73: False Swipe
Level 79: Giga Drain

300 SKITTY -> SPINDA
HP  45 
ATK 43 
DEF 36 
SPA 53 
SPD 35 
SPE 48 
Level 1 : Spit Up
Level 1 : Air Slash
Level 1 : Uproar
Level 1 : Icy Wind
Level 4 : Rock Wrecker
Level 8 : Wring Out
Level 11: Scary Face
Level 15: Dive
Level 18: Double Hit
Level 22: Whirlwind
Level 25: Glare
Level 29: Worry Seed
Level 32: Peck
Level 36: Leaf Storm
Level 39: Signal Beam
Level 42: Revenge
Level 46: Heart Swap

301 DELCATTY ->  (no evolution)
HP  31 
ATK 92 
DEF 34 
SPA 88 
SPD 104
SPE 32 
Level 1 : Drain Punch
Level 1 : Sky Uppercut
Level 1 : Barrier
Level 1 : Rock Throw

302 SABLEYE ->  (no evolution)
HP  32 
ATK 20 
DEF 17 
SPA 108
SPD 58 
SPE 145
Level 1 : Fake Out
Level 1 : Scratch
Level 1 : Rage
Level 1 : Shadow Force
Level 4 : Pluck
Level 8 : Pound
Level 11: Power Swap
Level 15: Bug Bite
Level 18: Chatter
Level 22: Bubble
Level 25: Body Slam
Level 29: Rock Slide
Level 32: Wish
Level 36: Milk Drink
Level 39: Howl
Level 43: Pay Day
Level 46: Zap Cannon
Level 50: Superpower
Level 53: Focus Blast
Level 57: Acid

303 MAWILE ->  (no evolution)
HP  32 
ATK 27 
DEF 136
SPA 21 
SPD 126
SPE 37 
Level 1 : Moonlight
Level 1 : Head Smash
Level 1 : Defend Order
Level 1 : Zap Cannon
Level 6 : BubbleBeam
Level 11: Psywave
Level 16: Substitute
Level 21: Leer
Level 26: Toxic
Level 31: Selfdestruct
Level 36: Teleport
Level 41: Swift
Level 46: Night Slash
Level 51: Brine
Level 51: Frustration
Level 51: Water Sport
Level 56: Hi Jump Kick

304 ARON -> SKARMORY
HP  53 
ATK 42 
DEF 54 
SPA 16 
SPD 43 
SPE 121
Level 1 : Submission
Level 1 : Aqua Ring
Level 1 : Leer
Level 1 : Uproar
Level 4 : Crush Claw
Level 8 : Rock Polish
Level 11: PoisonPowder
Level 15: Crabhammer
Level 18: Lucky Chant
Level 22: Memento
Level 25: Future Sight
Level 29: Transform
Level 32: Iron Head
Level 36: ThunderPunch
Level 39: Rain Dance
Level 43: Synthesis
Level 46: Chatter

305 LAIRON -> MAGNEZONE
HP  79 
ATK 127
DEF 96 
SPA 74 
SPD 16 
SPE 39 
Level 1 : Brick Break
Level 1 : Stun Spore
Level 1 : Bug Buzz
Level 1 : Psycho Boost
Level 4 : Fury Attack
Level 8 : Dizzy Punch
Level 11: Knock Off
Level 15: Steel Wing
Level 18: Fissure
Level 22: Cotton Spore
Level 25: Light Screen
Level 29: Shadow Claw
Level 34: Captivate
Level 40: Sharpen
Level 45: Water Gun
Level 51: Metal Burst
Level 56: Destiny Bond

306 AGGRON ->  (no evolution)
HP  98 
ATK 30 
DEF 107
SPA 58 
SPD 76 
SPE 161
Level 1 : Fling
Level 1 : Follow Me
Level 1 : Disable
Level 1 : Night Slash
Level 4 : Dream Eater
Level 8 : Judgment
Level 11: Teeter Dance
Level 15: Dragon Rage
Level 18: Leer
Level 22: Arm Thrust
Level 25: Selfdestruct
Level 29: Horn Attack
Level 34: Muddy Water
Level 40: Crunch
Level 48: Take Down
Level 57: Bone Club
Level 65: Wake-Up Slap

307 MEDITITE -> MONFERNO
HP  72 
ATK 19 
DEF 56 
SPA 28 
SPD 56 
SPE 49 
Level 1 : Moonlight
Level 1 : Blast Burn
Level 1 : DragonBreath
Level 1 : Uproar
Level 4 : Protect
Level 8 : Steel Wing
Level 11: Tackle
Level 15: Hydro Cannon
Level 18: Mud Bomb
Level 22: Rest
Level 25: Poison Gas
Level 29: Bounce
Level 32: Sand-Attack
Level 36: Ominous Wind
Level 39: Double Kick
Level 43: Reversal
Level 46: Gyro Ball

308 MEDICHAM ->  (no evolution)
HP  46 
ATK 84 
DEF 75 
SPA 92 
SPD 58 
SPE 56 
Level 1 : Assurance
Level 1 : Zen Headbutt
Level 1 : Flash
Level 1 : Defense Curl
Level 1 : Lick
Level 1 : Psychic
Level 1 : Uproar
Level 4 : Flash Cannon
Level 8 : Scary Face
Level 11: Rollout
Level 15: Captivate
Level 18: Block
Level 22: Poison Fang
Level 25: Sweet Kiss
Level 29: Double Kick
Level 32: Aeroblast
Level 36: Knock Off
Level 42: Iron Defense
Level 49: Water Pulse
Level 55: Present

309 ELECTRIKE -> ROTOM
HP  23 
ATK 86 
DEF 24 
SPA 51 
SPD 74 
SPE 37 
Level 1 : Bone Club
Level 1 : Close Combat
Level 1 : Recycle
Level 1 : Karate Chop
Level 4 : Brine
Level 9 : Hyper Voice
Level 12: Rock Blast
Level 17: Egg Bomb
Level 20: Sky Uppercut
Level 25: Fling
Level 28: ExtremeSpeed
Level 33: Gust
Level 36: Thunder
Level 41: Stomp
Level 44: Leaf Blade
Level 49: Sweet Kiss

310 MANECTRIC ->  (no evolution)
HP  143
ATK 110
DEF 45 
SPA 33 
SPD 55 
SPE 89 
Level 1 : Air Cutter
Level 1 : Icicle Spear
Level 1 : Bone Rush
Level 1 : Feint
Level 1 : Leaf Blade
Level 4 : Sleep Talk
Level 9 : Flamethrower
Level 12: Swords Dance
Level 17: Needle Arm
Level 20: U-turn
Level 25: Magnet Rise
Level 30: Swift
Level 37: Rollout
Level 42: Poison Gas
Level 49: Ice Punch
Level 54: Sand-Attack
Level 61: Mega Punch

311 PLUSLE ->  (no evolution)
HP  78 
ATK 84 
DEF 31 
SPA 45 
SPD 78 
SPE 88 
Level 1 : Sharpen
Level 1 : Fire Punch
Level 1 : Night Slash
Level 1 : Brine
Level 3 : Yawn
Level 7 : Dragon Rage
Level 10: Seed Flare
Level 15: Swagger
Level 17: Thief
Level 21: Brick Break
Level 24: Vacuum Wave
Level 29: Poison Gas
Level 31: Wood Hammer
Level 35: Mud Bomb
Level 38: Draco Meteor
Level 42: Psycho Boost
Level 44: Imprison
Level 48: Whirlwind
